'Ill be in sch fr 4-6... I dun haf da book in sch... Its at home...',ham
'I sent them. Do you like?',ham
'Correct. So how was work today',ham
'Hey we can go jazz power yoga hip hop kb and yogasana',ham
'Uhhhhrmm isnt having tb test bad when youre sick',ham
'What Today-sunday..sunday is holiday..so no work..',ham
'\"Wen u miss someone, the person is definitely special for u..... But if the person is so special, why to miss them, just Keep-in-touch\" gdeve..',ham
'K sure am in my relatives home. Sms me de. Pls:-)',ham
'Its a site to simulate the test. It just gives you very tough questions to test your readiness.',ham
'Pls send me your address sir.',ham
'Im very happy for you babe ! Woo hoo party on dude!',ham
'Is she replying. Has boye changed his phone number',ham
'I am sorry it hurt you.',ham
'Ok lor... Or u wan me go look 4 u?',ham
'If I die I want u to have all my stuffs.',ham
'Aight, text me tonight and well see whats up',ham
'We are at grandmas. Oh dear, u still ill? I felt Shit this morning but i think i am just hungover! Another night then. We leave on sat.',ham
'Im good! I have been thinking about you...',ham
'And I dont plan on staying the night but I prolly wont be back til late',ham
'Oh fine, Ill be by tonight',ham
'Good night my dear.. Sleepwell&amp;Take care',ham
'Dont forget who owns you and whos private property you are ... And be my good boy always .. *passionate kiss*',ham
'Keep yourself safe for me because I need you and I miss you already and I envy everyone that sees you in real life',ham
'I know that my friend already told that.',ham
'Ok anyway no need to change with what you said',ham
'Hi Dear Call me its urgnt. I dont know whats your problem. You dont want to work or if you have any other problem at least tell me. Wating for your reply.',ham
'It shall be fine. I have avalarr now. Will hollalater',ham
'Oh... Kay... On sat right?',ham
'This phone has the weirdest auto correct.',ham
'Ok lor thanx... Ü in school?',ham
'Its cool, we can last a little while. Getting more any time soon?',ham
'Are you ok. What happen to behave like this',ham
'I am back. Bit long cos of accident on a30. Had to divert via wadebridge.I had a brilliant weekend thanks. Speak soon. Lots of love',ham
'Yup but not studying surfing lor. Im in e lazy mode today.',ham
'May b approve panalam...but it should have more posts..',ham
'You said not now. No problem. When you can. Let me know.',ham
'I guess you could be as good an excuse as any, lol.',ham
'Ive been barred from all B and Q stores for life!?This twat in orange dungerees came up to me and asked if I wanted decking? So I got the first punch in!!',ham
'Ok lor. Im in town now lei.',ham
'Howz that persons story',ham
'Aight fuck it, Ill get it later',ham
'Call me when you/carlos is/are here, my phones vibrate is acting up and I might not hear texts',ham
'Hi baby ive just got back from work and i was wanting to see u allday! I hope i didnt piss u off on the phone today. If u are up give me a call xxx',ham
'S:-)if we have one good partnership going we will take lead:)',ham
'I will once i get home',ham
'You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend',ham
'As I entered my cabin my PA said,  Happy Bday Boss !!. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.',ham
'how tall are you princess?',ham
Okie...,ham
'Good afternon, my love. How are today? I hope your good and maybe have some interviews. I wake and miss you babe. A passionate kiss from across the sea',ham
'The wine is flowing and im i have nevering..',ham
'I was slept that time.you there?',ham
'Sorry about that this is my mates phone and i didnt write it love Kate',ham
'Thanks  and ! Or bomb and date as my phone wanted to say!',ham
'Ü no home work to do meh...',ham
'You do got a shitload of diamonds though',ham
'Hmmm:)how many players selected?',ham
'Ü wait 4 me in sch i finish ard 5..',ham
'Tell me pa. How is pain de.',ham
'My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-)..',ham
'Thank You for calling.Forgot to say Happy Onam to you Sirji.I am fine here and remembered you when i met an insurance person.Meet You in Qatar Insha Allah.Rakhesh, ex Tata AIG who joined TISSCO,Tayseer.',ham
'Dont hesitate. You know this is the second time she has had weakness like that. So keep i notebook of what she eat and did the day before or if anything changed the day before so that we can be sure its nothing',ham
'Nothing, i got msg frm tht unknown no..',ham
'Your daily text from me – a favour this time',ham
'Ill see if I can swing by in a bit, got some things to take care of here firsg',ham
'Is xy in ur car when u picking me up?',ham
'Wishing you a wonderful week.',ham
'What time. I‘m out until prob 3 or so',ham
'Rightio. 11.48 it is then. Well arent we all up bright and early this morning.',ham
'Im serious. You are in the money base',ham
'sry cant talk on phone, with parents',ham
'Youll never believe this but i have actually got off at taunton. Wow',ham
'Goodmorning sleeping ga.',ham
'Dear got bus directly to calicut',ham
'Finally the match heading towards draw as your prediction.',ham
'Yeah thats what I thought, lemme know if anythings goin on later',ham
'And popping &lt;#&gt; ibuprofens was no help.',ham
'See the forwarding message for proof',ham
'Might ax well im there.',ham
'Fwiw the reason Im only around when its time to smoke is that because of gas I can only afford to be around when someone tells me to be and that apparently only happens when somebody wants to light up',ham
'Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..',ham
'No break time one... How... I come out n get my stuff fr ü?',ham
'is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt?',ham
'I cant pick the phone right now. Pls send a message',ham
'Cool, text me when youre parked',ham
'Fuuuuck I need to stop sleepin, sup',ham
'2 celebrate my bday, y else?',ham
'No worries, hope photo shoot went well. have a spiffing fun at workage.',ham
'Argh my 3g is spotty, anyway the only thing I remember from the research we did was that province and sterling were the only problem-free places we looked at',ham
'Ok... U enjoy ur shows...',ham
'Especially since i talk about boston all up in my personal statement, lol! I woulda changed that if i had realized it said nyc! It says boston now.',ham
'S...from the training manual it show there is no tech process:)its all about password reset and troubleshooting:)',ham
'Mm umma ask vava also to come tell him can play later together',ham
'Was playng 9 doors game and gt racing on phone lol',ham
'Ok ill send you with in  &lt;DECIMAL&gt;  ok.',ham
'Nan sonathaya soladha. Why boss?',ham
'Hi:)cts employee how are you?',ham
'Dizzamn, aight Ill ask my suitemates when I get back',ham
'THANX 4 PUTTIN DA FONE DOWN ON ME!!',ham
'Aiyar sorry lor forgot 2 tell u...',ham
'Ok i msg u b4 i leave my house.',ham
'Get the door, Im here',ham
'ELLO BABE U OK?',ham
'Ah poop. Looks like ill prob have to send in my laptop to get fixed cuz it has a gpu problem',ham
' said kiss, kiss, i cant do the sound effects! He is a gorgeous man isnt he! Kind of person who needs a smile to brighten his day!',ham
'When u wana see it then',ham
'Well. Im computerless. Time to make some oreo truffles',ham
'Prof: you have passed in all the papers in this sem congrats . . . . Student: Enna kalaachutaarama..!! Prof:???? Gud mrng!',ham
'Mind blastin.. No more Tsunamis will occur from now on.. Rajnikant stopped swimming in Indian Ocean..:-D',ham
'Great escape. I fancy the bridge but needs her lager. See you tomo',ham
'Ever green quote ever told by Jerry in cartoon \"A Person Who Irritates u Always Is the one Who Loves u Vry Much But Fails to Express It...!..!! :-) :-) gud nyt',ham
'Oh... I was thkin of goin yogasana at 10 den no nd to go at 3 den can rush to parco 4 nb... Okie lor, u call me when ready...',ham
'Sad story of a Man - Last week was my bday. My Wife didnt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish.',ham
